,metric,tripple,efficiency,tav
0,R2,0.3067910831184314,0.9224246124359717,0.9490572577166386
1,RSE,2.345956289151328,0.08357301382961949,0.05177391155946142
2,MAE,0.02818962232500978,0.08249500448058125,0.07731333191026372
3,RAE,1.5426124642266204,0.2705338327824765,0.21850440559845072
4,MSE,0.0012181754667778136,0.010874319876759738,0.009441001697444726
5,RMSE,0.03490237050370381,0.10428000708074266,0.09716481717908353
6,NRMSE-mean,0.22244163983208823,0.0011487977077573213,0.01192673534915242
7,NRMSE-min_max,0.17752172989851378,0.07280861908817071,0.05515121914301417
8,NRMSE-sd,0.8325916867718346,0.2785235852922124,0.2257049894959378
9,NRMSE-iq,0.5547371478469556,0.17649578787405376,0.1408312828897464
