,metric,tripple,efficiency,tav
0,R2,0.9936234842729689,0.9997601863008612,0.999732323338853
1,RSE,0.006725460756570101,0.00024158746236935258,0.0002686735533643514
2,MAE,0.0016491629648953676,0.0049133882857859135,0.002938820281997323
3,RAE,0.048766572028398514,0.01548835914582014,0.00810700748115778
4,MSE,1.1205444934603292e-05,3.3616492146393284e-05,4.960737351211719e-05
5,RMSE,0.0033474534999911936,0.0057979731067324975,0.007043250209393189
6,NRMSE-mean,0.021334166432859628,6.38732025843759e-05,0.0008645412189252095
7,NRMSE-min_max,0.017025940600393218,0.004048154409814423,0.003997783405845269
8,NRMSE-sd,0.07985308676855181,0.015485920130683796,0.016360828109733532
9,NRMSE-iq,0.05320431355890856,0.009813112064378628,0.01020852880278508
