,metric,tripple,efficiency,tav
0,R2,0.4280362858309096,0.8071536844297009,0.9390295172816733
1,RSE,1.290576696395874,0.19569312036037445,0.062077272683382034
2,MAE,0.025592349469661713,0.13194513320922852,0.07494375854730606
3,RAE,1.168833613395691,0.43312323093414307,0.21486735343933105
4,MSE,0.0010051112622022629,0.027032721787691116,0.011299398727715015
5,RMSE,0.03170348974801138,0.16441630633149232,0.10629862994279378
6,NRMSE-mean,0.20205434572528436,0.0018112874704940814,0.013047889024056169
7,NRMSE-min_max,0.1612514507748165,0.11479573693578668,0.06033562435175796
8,NRMSE-sd,0.7562828035461899,0.4391427385330579,0.24692202620813294
9,NRMSE-iq,0.503894201807218,0.2782758059654758,0.15406986734908204
