o1,o2,o3,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0.186645711,91.2755026,7.32016066,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.158203808,91.04236475,7.482941805,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.21132775,91.02788702,7.586355649,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.088008341,90.82703542,7.762457663,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.103784894,90.86963771,7.833571427,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.150373551,90.60717146,8.01898105,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.110251625,90.66826615,8.100265685,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.123792567,90.38863258,8.275766546,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.145448619,90.40853835,8.350280672,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.177866645,90.09982606,8.510737636,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.181301714,90.20656821,8.578017438,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.230623168,91.51309963,7.580930746,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.230446695,91.29522198,7.724570458,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.198664934,91.30606185,7.816612059,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.109815813,91.12448989,7.965354532,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.162500422,91.16331428,8.037138469,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.159755847,90.93781359,8.1968156,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.145116095,90.98442027,8.264179185,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.12381853,90.73732395,8.40307363,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.196420298,90.44754973,8.614487614,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.27597373,90.54837702,8.681074002,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.208747793,91.41701113,7.695207893,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.189272391,91.20063208,7.8264578,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.18300859,91.19186499,7.942541783,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.091320028,90.9949406,8.102572728,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.110550034,91.03710242,8.179901688,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.150696121,90.79020084,8.351154965,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.123638115,90.83344646,8.427433634,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.102429486,90.59170837,8.57615025,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.156234821,90.59145458,8.667485568,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.184141284,90.28513833,8.835315012,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.246086527,90.37426934,8.906576174,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1
0.198677829,91.32791091,7.538539947,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.155770053,91.08131784,7.718502564,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.201433596,91.08439009,7.822683236,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.079364726,90.88568284,8.001896464,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.103260213,90.91000351,8.067586974,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.15214165,90.66336873,8.259547204,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.130842882,90.71458524,8.347195662,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.080211289,90.21288982,8.858602474,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.080652416,90.13173471,8.963507065,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.191233081,90.12490218,8.781530909,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.176515325,90.21839559,8.851953045,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1
0.186154388,91.26328507,7.31351119,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.162128407,91.03356139,7.47359546,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.214957675,91.02132305,7.585329039,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.085978723,90.82146675,7.761774476,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.103940817,90.85966607,7.835501438,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.150983191,90.61450487,8.016590418,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.112854142,90.66331345,8.096873949,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.114429444,90.38683546,8.274790759,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.149519109,90.39462502,8.346193465,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.173065797,90.09151714,8.508511184,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.177309773,90.19762645,8.57500733,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.188072544,91.26853714,7.320163334,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.161009899,91.04325199,7.481289289,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.211545188,91.02499312,7.58776594,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.087427097,90.82557044,7.764772869,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.103961686,90.86753983,7.833143428,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.150815996,90.62104254,8.01576806,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.109063475,90.66596872,8.100731573,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.119322958,90.38895469,8.278439005,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.151146147,90.38186015,8.340055754,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.175702723,90.09817581,8.505284398,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.174156005,90.19710563,8.570485443,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.187772923,91.27284766,7.318648594,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.157916264,91.03559642,7.4813896,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.210778159,91.02501982,7.587308298,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.087768656,90.82471744,7.764593465,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.103388099,90.8620847,7.835238512,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.148411557,90.60413999,8.020643887,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.109659947,90.66435386,8.102269912,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.124042288,90.38749644,8.280337215,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.143722414,90.39686497,8.352518133,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.177915952,90.09569305,8.513654918,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.183908602,90.20087858,8.582527217,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.137924104,91.52376525,7.568946063,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.173673561,91.29837937,7.720640105,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.226700348,91.31339154,7.811513699,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.110589972,91.14436838,7.951298992,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
0.114443006,91.17569592,8.016872415,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
