output1,output2,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
37.54248,8.705837,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
53.29577,8.655089,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
45.13279,8.603847,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
34.98696,8.562926,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
41.85604,8.501095,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
42.13349,8.448728,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
50.34696,8.398583,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
36.62717,8.338263,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
41.61754,8.297965,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
48.89014,8.230814,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
42.41383,8.174808,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
27.28163,8.096264,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
34.50821,8.049502,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
37.26294,7.994877,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
17.05622,7.912505,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
25.16152,7.846203,1,1,1,-1,-1,1,1,1,1,1,1,1,1
26.12315,7.816748,1,1,1,-1,-1,1,1,1,1,1,1,1,1
21.74332,7.715762,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.50665,7.668392,1,1,1,-1,-1,1,1,1,1,1,1,1,1
21.22219,7.569355,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.74745,7.513579,1,1,1,-1,-1,1,1,1,1,1,1,1,1
19.78489,7.413669,1,1,1,-1,-1,1,1,1,1,1,1,1,1
22.24417,7.370494,1,1,1,-1,-1,1,1,1,1,1,1,1,1
22.26283,7.283674,1,1,1,-1,-1,1,1,1,1,1,1,1,1
27.13056,7.213863,1,1,1,-1,-1,1,1,1,1,1,1,1,1
18.20066,7.110772,1,1,1,-1,-1,1,1,1,1,1,1,1,1
33.96856,7.090425,1,1,1,-1,-1,1,1,1,1,1,1,1,1
22.46573,7.039104,1,1,1,-1,-1,1,1,1,1,1,1,1,1
28.12052,6.882325,1,1,1,-1,-1,1,1,1,1,1,1,1,1
36.01307,6.833301,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.53379,6.754612,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.81314,7.62697,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
24.6936,7.655502,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
23.65848,7.684427,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.96123,7.707067,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.14287,7.75139,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.3961,7.787904,1,1,1,-1,-1,1,1,1,1,1,1,1,1
25.71832,7.824481,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.38481,7.668237,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
23.27917,7.701061,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.58432,7.723147,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.74445,7.770821,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.01701,7.805382,1,1,1,-1,-1,1,1,1,1,1,1,1,1
25.31614,7.844331,1,1,1,-1,-1,1,1,1,1,1,1,1,1
26.16581,7.539203,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
26.46495,7.568094,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
26.22363,7.592288,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
26.69497,7.615658,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
26.29669,7.636877,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
25.15507,7.663852,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
25.33248,7.706496,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
25.57262,7.743134,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
26.89038,7.780918,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
26.24412,7.618484,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
26.12109,7.635196,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
25.70552,7.657875,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
24.7095,7.68304,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
24.90982,7.726088,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
25.12778,7.766076,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
26.46143,7.801411,1,1,1,-1,-1,1,1,1,1,1,1,-1,1
21.68652,8.680364,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
22.34501,8.76736,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
22.97216,8.797931,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
24.20419,8.73627,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
20.76349,8.782157,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
22.07204,8.754769,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
23.86338,8.63755,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
21.50281,8.655879,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.54754,8.47321,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.93266,8.237317,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
20.57255,8.791618,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1
22.10273,8.762765,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
23.71165,8.642753,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1
21.36788,8.657633,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.44526,8.469743,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.13837,8.192553,-1,1,1,-1,-1,1,1,1,1,1,1,1,1
21.71842,8.628166,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.00519,8.421232,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.81355,8.068869,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.26683,7.63767,1,1,1,-1,-1,-1,1,1,1,1,1,1,1
35.44425,7.87942,1,1,1,-1,-1,1,1,1,1,1,1,1,1
24.95224,7.848709,1,1,1,-1,1,-1,1,1,1,1,1,1,1
24.55878,7.959514,1,1,1,-1,1,1,1,1,1,1,1,1,1
36.75145,7.880039,1,1,1,-1,1,1,1,1,1,1,1,1,1
31.39148,7.891138,1,1,1,-1,1,-1,1,1,1,1,1,1,1
30.62515,7.950716,1,1,1,-1,1,1,1,1,1,1,1,1,1
23.08365,7.883916,1,1,1,-1,-1,-1,1,1,1,1,1,1,1
24.61443,7.981388,1,1,1,-1,1,1,1,1,1,1,1,1,1
31.89355,7.947964,1,1,1,-1,1,1,1,1,1,1,1,1,1
19.20113,8.030211,1,1,1,-1,1,1,1,1,1,1,1,1,1
42.77682,7.765815,1,1,1,-1,-1,1,1,1,1,1,1,1,1
23.77418,7.992652,1,1,1,-1,1,1,1,1,1,1,1,1,1
30.12748,8.000036,1,1,1,-1,1,1,1,1,1,1,1,1,1
18.72082,8.039598,1,1,1,-1,1,1,1,1,1,1,1,1,1
25.63252,7.967766,1,1,1,1,-1,1,1,1,1,1,1,1,1
20.66876,7.982288,1,1,1,1,1,-1,1,1,1,1,1,1,1
26.39654,7.998163,1,1,1,1,1,1,1,1,1,1,1,1,1
30.16291,7.951761,1,1,1,1,1,-1,1,1,1,1,1,1,1
22.29446,7.769686,1,1,1,1,-1,-1,1,1,1,1,1,1,1
29.76846,7.895734,1,1,1,1,-1,1,1,1,1,1,1,1,1
23.39659,7.934756,1,1,1,1,1,-1,1,1,1,1,1,1,1
30.14339,8.006136,1,1,1,1,1,1,1,1,1,1,1,1,1
35.1795,7.892522,1,1,1,1,-1,1,1,1,1,1,1,1,1
20.81875,8.052932,1,1,1,1,1,1,1,1,1,1,1,1,1
